lat,long ,AQI,name 
31.501559,74.306762,58.645,Purple1
31.570236,74.412914,166.07,Purple2
31.468374,74.301385,156.56,Purple3
31.4859,74.3735,185.42,Purple4
31.444512,74.309754,169.54,Purple5
31.565131,74.310783,167.43,Purple6
31.480284,74.404699,148.41,Purple7
31.485875,74.340391,144.9909584,Node 8
31.587203,74.407602,134.2634529,Node 6
31.47178,74.408864,130.1922464,Node 4
