time,conc,location,lat,long
2021-08-07 05:00:00,76.13683333333333,PurpleAir-0,31.501559,74.306762
2021-08-07 06:00:00,88.51916666666668,PurpleAir-0,31.501559,74.306762
2021-08-07 07:00:00,107.6865,PurpleAir-0,31.501559,74.306762
2021-08-07 08:00:00,99.2325,PurpleAir-0,31.501559,74.306762
2021-08-07 09:00:00,87.12983333333332,PurpleAir-0,31.501559,74.306762
2021-08-07 10:00:00,114.773,PurpleAir-0,31.501559,74.306762
2021-08-07 11:00:00,127.0615,PurpleAir-0,31.501559,74.306762
2021-08-07 12:00:00,131.40637931034485,PurpleAir-0,31.501559,74.306762
2021-08-07 13:00:00,71.08633333333333,PurpleAir-0,31.501559,74.306762
2021-08-07 14:00:00,83.42783333333334,PurpleAir-0,31.501559,74.306762
2021-08-07 15:00:00,86.41816666666668,PurpleAir-0,31.501559,74.306762
2021-08-07 16:00:00,93.586,PurpleAir-0,31.501559,74.306762
2021-08-07 17:00:00,126.95133333333334,PurpleAir-0,31.501559,74.306762
2021-08-07 18:00:00,146.132,PurpleAir-0,31.501559,74.306762
2021-08-07 19:00:00,127.10633333333334,PurpleAir-0,31.501559,74.306762
2021-08-07 20:00:00,68.52633333333333,PurpleAir-0,31.501559,74.306762
2021-08-07 21:00:00,80.47233333333334,PurpleAir-0,31.501559,74.306762
2021-08-07 22:00:00,94.56583333333332,PurpleAir-0,31.501559,74.306762
2021-08-07 23:00:00,96.52083333333331,PurpleAir-0,31.501559,74.306762
2021-08-08 00:00:00,100.53416666666666,PurpleAir-0,31.501559,74.306762
2021-08-08 01:00:00,97.4735,PurpleAir-0,31.501559,74.306762
2021-08-08 02:00:00,108.48366666666666,PurpleAir-0,31.501559,74.306762
2021-08-08 03:00:00,120.7895,PurpleAir-0,31.501559,74.306762
2021-08-08 04:00:00,99.99983333333334,PurpleAir-0,31.501559,74.306762
2021-08-08 05:00:00,102.09266666666667,PurpleAir-0,31.501559,74.306762
2021-08-08 06:00:00,89.629,PurpleAir-0,31.501559,74.306762
2021-08-08 07:00:00,85.68400000000001,PurpleAir-0,31.501559,74.306762
2021-08-08 08:00:00,70.53883333333334,PurpleAir-0,31.501559,74.306762
2021-08-08 09:00:00,72.59033333333333,PurpleAir-0,31.501559,74.306762
2021-08-08 10:00:00,74.90266666666666,PurpleAir-0,31.501559,74.306762
2021-08-08 11:00:00,75.68700000000001,PurpleAir-0,31.501559,74.306762
2021-08-08 12:00:00,76.20249999999999,PurpleAir-0,31.501559,74.306762
2021-08-08 13:00:00,71.3175,PurpleAir-0,31.501559,74.306762
2021-08-08 14:00:00,74.67983333333333,PurpleAir-0,31.501559,74.306762
2021-08-08 15:00:00,65.72983333333335,PurpleAir-0,31.501559,74.306762
2021-08-08 16:00:00,51.185500000000005,PurpleAir-0,31.501559,74.306762
2021-08-08 17:00:00,56.363166666666665,PurpleAir-0,31.501559,74.306762
